v | b | Spanish
ʎ | l | Spanish
ʉ | i@U | Mandarin
bʲ | p | Mandarin
i | i | Japanese
ɫ | l | English
ə | ae | English
sʲ | s\ | Mandarin
t̪ | t | Spanish
t | t | Spanish
u | u | Mandarin
ʐ | zh | English
ɛ | e | Spanish
j | ll | Spanish
a | a | Japanese
k | k | Japanese
ɐ | a | Mandarin
ɡ | g | English
d̪ | d | Japanese
d | d | Japanese
f | f | Japanese
r | rr | Spanish
ɲ | J | Spanish
t̪s̪ | t s | English
ɨ | i\ | Mandarin
z̪ | z | Japanese
ɟ | k | Mandarin
m | m | Japanese
ɪ | ie | Mandarin
o | o | Japanese
p | p | Japanese
s̪ | s | Japanese
s | s | Japanese
tʲ | ch | Japanese
e | ll e | Spanish
n̪ | n | Japanese
n | n | Japanese
zʲ | z ih \ | English
ʂ | sh | Japanese
  | sil | Japanese
dʲ | d \ | Japanese
