v | b | Spanish
ʎ | l | Spanish
ʉ | i@U | Mandarin
bʲ | p | Mandarin
i | i | Japanese
ɫ | l | English
ə | ae | English
sʲ | s\ | Mandarin
t̪ | t | Mandarin
t | t | Mandarin
u | u | Mandarin
ʐ | j | Japanese
ɛ | e | Spanish
j | ll | Spanish
a | a | Japanese
k | k | Japanese
ɐ | a | Mandarin
ɡ | g | Spanish
d̪ | d | Japanese
d | d | Japanese
f | f | Japanese
r | rr | Spanish
ɲ | J | Spanish
t̪s̪ | tsh | Mandarin
ɨ | i\ | Mandarin
z̪ | z | Japanese
ɟ | k | Mandarin
m | m | Japanese
ɪ | y | Spanish
o | o | Japanese
p | p | Japanese
s̪ | s | Japanese
s | s | Japanese
tʲ | ch | Japanese
e | ll e | Spanish
n̪ | n | Japanese
n | n | Japanese
zʲ | z i | Japanese
ʂ | sh | Japanese
